Tumor Duke network  with 295 segments (582 subsegments with min. segment length  50.000000)												
990.000000 810.000000 150.000000 box dimensions in microns												
34 28 6 number of tissue points in x,y,z directions												
100	outer bound distance											
150	max. segment length											
4		maximum number of segments per node										
582	total number of segments											
SegName	Type	StartNode	EndNode	Diam	Flow[nl/min]	Hd						
1	5	1	13	12	-1.5774	0.197235	*					
2	5	13	5001	11	-1.42	0.174759	*					
3	5	5001	5002	11	-1.42	0.174759	*					
4	5	5002	1027	11	-1.42	0.174759	*					
5	5	13	5003	12	-0.1574	0.4	*					
6	5	5003	2	12	-0.1574	0.4	*					
7	5	1027	1031	6.6	-0.596974	0.223016	*					
8	5	1027	5004	10	-0.823026	0.139757	*					
9	5	5004	1093	10	-0.823026	0.139757	*					
10	5	1093	3594	16	2.088864	0.18841	*					
11	5	1093	1086	12	-2.911891	0.174659	*					
12	5	1086	5005	14	-1.282508	0.267222	*					
13	5	5005	1545	14	-1.282508	0.267222	*					
14	5	1086	5006	9	-1.629382	0.101801	*					
15	5	5006	5007	9	-1.629382	0.101801	*					
16	5	5007	1583	9	-1.629382	0.101801	*					
17	5	1583	1340	14.3	7.66165	0.320967	*					
18	5	1583	5008	9	-9.291032	0.282531	*					
19	5	5008	3738	9	-9.291032	0.282531	*					
20	5	3738	3750	12	-38.7523	0.4	*					
21	5	3738	2127	11.9	29.461267	0.437045	*					
22	5	2127	5009	10	2.389623	0.123828	*					
23	5	5009	1230	10	2.389623	0.123828	*					
24	5	2127	5010	31	27.071644	0.464693	*					
25	5	5010	5011	31	27.071644	0.464693	*					
26	5	5011	5012	31	27.071644	0.464693	*					
27	5	5012	5013	31	27.071644	0.464693	*					
28	5	5013	5014	31	27.071644	0.464693	*					
29	5	5014	5015	31	27.071644	0.464693	*					
30	5	5015	5016	31	27.071644	0.464693	*					
31	5	5016	1535	31	27.071644	0.464693	*					
32	5	1535	5017	31	26.247343	0.474247	*					
33	5	5017	5018	31	26.247343	0.474247	*					
34	5	5018	5019	31	26.247343	0.474247	*					
35	5	5019	457	31	26.247343	0.474247	*					
36	5	1535	5020	8	0.8243	0.160497	*					
37	5	5020	2027	8	0.8243	0.160497	*					
38	5	457	465	26.299999	23.538744	0.491538	*					
39	5	457	5021	25	2.7086	0.323975	*					
40	5	5021	5022	25	2.7086	0.323975	*					
41	5	5022	2004	25	2.7086	0.323975	*					
42	5	2004	5023	21	0.692	0.23637	*					
43	5	5023	5024	21	0.692	0.23637	*					
44	5	5024	2024	21	0.692	0.23637	*					
45	5	2004	5025	15	2.0166	0.354036	*					
46	5	5025	2047	15	2.0166	0.354036	*					
47	5	2047	2052	17.799999	0.227	0.09422	*					
48	5	2047	5026	11	1.7896	0.386992	*					
49	5	5026	2067	11	1.7896	0.386992	*					
50	5	2067	2079	11	0.5173	0.259256	*					
51	5	2067	5027	11	1.2723	0.438929	*					
52	5	5027	2096	11	1.2723	0.438929	*					
53	5	465	5028	15.1	2.544899	0.372947	*					
54	5	5028	1249	15.1	2.544899	0.372947	*					
